arm_id,run_id,schema_id,partition_tier_count,edge_count
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,counterpoint_empty_schema_v001,1,1140
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,counterpoint_empty_schema_v001,1,1140
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema2115971678-rep2,counterpoint_empty_schema_v001,1,1140
tower_empty_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema846157733-rep3,counterpoint_empty_schema_v001,1,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep0,counterpoint_random_balanced_schema_v001_seed0,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep0,counterpoint_random_balanced_schema_v001_seed1,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep0,counterpoint_random_balanced_schema_v001_seed2,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep1,counterpoint_random_balanced_schema_v001_seed0,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep1,counterpoint_random_balanced_schema_v001_seed1,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep1,counterpoint_random_balanced_schema_v001_seed2,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep2,counterpoint_random_balanced_schema_v001_seed0,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep2,counterpoint_random_balanced_schema_v001_seed1,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep2,counterpoint_random_balanced_schema_v001_seed2,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema0-rep3,counterpoint_random_balanced_schema_v001_seed0,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema1-rep3,counterpoint_random_balanced_schema_v001_seed1,5,1140
tower_random_balanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_balanced_exploit_explore_tabular_q-schema2-rep3,counterpoint_random_balanced_schema_v001_seed2,5,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep0,counterpoint_random_unbalanced_schema_v001_seed0,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep0,counterpoint_random_unbalanced_schema_v001_seed1,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema2-rep0,counterpoint_random_unbalanced_schema_v001_seed2,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep1,counterpoint_random_unbalanced_schema_v001_seed0,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep1,counterpoint_random_unbalanced_schema_v001_seed1,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema2-rep1,counterpoint_random_unbalanced_schema_v001_seed2,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep2,counterpoint_random_unbalanced_schema_v001_seed0,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep2,counterpoint_random_unbalanced_schema_v001_seed1,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema2-rep2,counterpoint_random_unbalanced_schema_v001_seed2,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema0-rep3,counterpoint_random_unbalanced_schema_v001_seed0,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema1-rep3,counterpoint_random_unbalanced_schema_v001_seed1,3,1140
tower_random_unbalanced_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_random_unbalanced_exploit_explore_tabular_q-schema2-rep3,counterpoint_random_unbalanced_schema_v001_seed2,3,1140
tower_motion_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_motion_exploit_explore_tabular_q-schema586944204-rep0,counterpoint_motion_schema_v001,5,1140
tower_motion_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_motion_exploit_explore_tabular_q-schema1640250817-rep1,counterpoint_motion_schema_v001,5,1140
tower_motion_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_motion_exploit_explore_tabular_q-schema2115971678-rep2,counterpoint_motion_schema_v001,5,1140
tower_motion_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_motion_exploit_explore_tabular_q-schema846157733-rep3,counterpoint_motion_schema_v001,5,1140
tower_bad_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_bad_exploit_explore_tabular_q-schema586944204-rep0,counterpoint_bad_schema_v001,2,1140
tower_bad_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_bad_exploit_explore_tabular_q-schema1640250817-rep1,counterpoint_bad_schema_v001,2,1140
tower_bad_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_bad_exploit_explore_tabular_q-schema2115971678-rep2,counterpoint_bad_schema_v001,2,1140
tower_bad_exploit_explore_tabular_q,counterpoint_symbolic_n3_small_v001-tower_bad_exploit_explore_tabular_q-schema846157733-rep3,counterpoint_bad_schema_v001,2,1140
